moves,runtime(in seconds)
39594,3.6152
4169,0.3407
31043,2.7946
8785,0.7849
11923,1.1445
17081,1.5824
60338,5.6564
58267,5.4895
28528,2.4445
20604,1.8219
17127,1.6151
29173,2.6382
18700,1.8369
24110,2.3456
44280,4.4496
14454,1.3782
9282,0.8873
9050,0.9046
31437,3.0418
79725,7.6085
33602,2.8127
33935,3.3637
13531,1.2238
59858,5.3580
9504,0.9502
14080,1.3745
9370,0.8407
45575,4.0083
18893,1.7693
17730,1.6815
14036,1.1434
26722,2.5231
33603,3.0782
50287,5.0463
17110,1.4249
20565,1.8578
27413,2.6680
26369,2.5552
26362,2.5438
14659,1.3043
110141,10.445
53403,5.0251
12375,1.1470
8864,0.8968
18694,1.7098
16360,1.3263
23894,1.9666
39665,3.5508
55458,5.3623
23410,2.2893
20778,1.7169
17764,1.4997
7150,0.7176
16010,1.4865
31582,2.6727
17174,1.5019
30776,3.0738
4847,0.5257
13736,1.2226
34031,3.0019
8234,0.7361
34112,3.0155
23488,2.0490
7154,0.6509
10972,1.0829
13009,1.2999
16084,1.4870
19654,1.8278
38337,3.8257
10263,0.9770
22445,2.0159
29658,3.1834
23512,2.1143
8305,0.8028
18170,1.6207
22808,1.9172
11597,1.0645
35374,3.2048
44323,4.1542
26794,2.4371
9617,0.9452
29388,2.8480
46479,4.1676
21109,2.0165
6974,0.6709
12042,1.1776
32768,3.0321
28650,2.9098
11884,1.1399
33491,3.0162
19133,1.8346
35863,3.5274
37029,3.5202
49762,4.7422
20923,2.1236
30922,3.0624
13064,1.2364
10583,0.9388
78032,7.6085
25066,2.2406
35529,3.3493
52402,4.9048
34501,3.1940
19601,1.9243
6614,0.6774
49631,4.5039
26214,2.5501
23454,2.1090
20046,1.8940
57896,5.6727
24238,2.3913
30790,2.9290
18483,2.0074
4625,0.4679
13965,1.3021
29336,2.4824
34217,2.9016
16900,1.4860
66911,6.4626
46524,4.4817
58264,5.4541
47140,4.4802
36753,3.4097
7246,0.6736
82170,7.1608
36612,3.5423
7606,0.6735
13538,1.3364
28851,2.8439
30314,2.9480
24175,2.1672
34682,3.2809
2972,0.2584
5996,0.5414
